"crop","Gen_sp","Nest_place","Sociality","Parasitic","ITfam","PDrar20","tongue","pol_mean"
"wt","Bombus_bimaculatus","cavity","Eusocial","No",4.50479780571662,1332.29116220061,10.1288078237739,137.3253968
"wt","Ceratina_calcarata_dupla_miqmaki","stem","fac_social","No",1.20856171882698,1208.67869025538,2.68643411134282,73
"wt","Halictus_confusus","soil","fac_social","No",1.46779527559055,1502.09775875952,2.22554207567872,143.2777778
"wt","Halictus_parallelus","soil","fac_social","No",2.08346153851737,1490.90682848163,3.20133424871654,15.33333333
"wt","Agapostemon_sericeus","soil","fac_social","No",2.03352272720248,912.07760700944,3.38860511338077,26.44444444
"wt","Melissodes_bimaculata","soil","Solitary","No",2.92,1401.11196883657,6.381,193.0555556
"wt","Peponapis_pruinosa","soil","Solitary","No",3.7066666667,603.319356065356,7.958,85.52777778
"wt","Calliopsis_andreniformis","soil","Eusocial","No",1.31159784997445,1502.42580895319,1.79670246115886,63.56389987
"wt","Augochlora_pura","wood","Solitary","No",1.58295828908979,1686.4343630707,2.68972954316388,43.81766382
"wt","Lasioglossum_illinoense","soil","Eusocial","No",0.904296390437313,1371.01911784133,1.26885722780111,44.52002165
"wt","Triepeolus_remigatus","soil","Solitary","Yes",2.3657852,897.337590367858,4.86850815265421,39
"wt","Xylocopa_virginica","wood","fac_social","No",6.06866666666667,1192.71156756987,7.305975,479
